line	occurrenceID	identifier	ok	is_500_error	status	method	content_type	content_length	effective_url	elapsed_ms	error
2	fca0fdaf-a8c7-4a30-b0d7-d20a99097929	https://symbiota.ccber.ucsb.edu/kummel/2026/52620437560.jpg	yes	no	200	HEAD	image/jpeg	889346	https://symbiota.ccber.ucsb.edu/kummel/2026/52620437560.jpg	602	
3	f430920b-1d22-4f1e-95e0-48deab22d588	https://symbiota.ccber.ucsb.edu/kummel/2026/52607964930.jpg	yes	no	200	HEAD	image/jpeg	1089741	https://symbiota.ccber.ucsb.edu/kummel/2026/52607964930.jpg	601	
4	f2ead9c0-0d3f-42d3-896d-6f59371c9a1c	https://symbiota.ccber.ucsb.edu/kummel/2026/52632252600.jpg	yes	no	200	HEAD	image/jpeg	937389	https://symbiota.ccber.ucsb.edu/kummel/2026/52632252600.jpg	601	
5	f0d27dc0-c402-47cd-a6a0-45c291651ce1	https://symbiota.ccber.ucsb.edu/kummel/2026/52607561146.jpg	yes	no	200	HEAD	image/jpeg	750517	https://symbiota.ccber.ucsb.edu/kummel/2026/52607561146.jpg	606	
6	ed248639-85f0-4a6c-8890-0f56e2b032fc	https://symbiota.ccber.ucsb.edu/kummel/2026/52651550945.jpg	yes	no	200	HEAD	image/jpeg	828846	https://symbiota.ccber.ucsb.edu/kummel/2026/52651550945.jpg	583	
7	ebe12efd-fc17-4c59-9dba-2003d599d04f	https://symbiota.ccber.ucsb.edu/kummel/2026/52605851044.jpg	yes	no	200	HEAD	image/jpeg	938306	https://symbiota.ccber.ucsb.edu/kummel/2026/52605851044.jpg	651	
8	e372dc78-15d2-4c5d-b37a-7ce3947e1ad6	https://symbiota.ccber.ucsb.edu/kummel/2026/52608049538.jpg	yes	no	200	HEAD	image/jpeg	1353696	https://symbiota.ccber.ucsb.edu/kummel/2026/52608049538.jpg	593	
9	e67f3867-24da-4b42-aee3-d5aaf9e05c03	https://symbiota.ccber.ucsb.edu/kummel/2026/52639203446.jpg	yes	no	200	HEAD	image/jpeg	695469	https://symbiota.ccber.ucsb.edu/kummel/2026/52639203446.jpg	600	
10	e57ff8b0-7e87-43a2-b4ab-cc11216a9242	https://symbiota.ccber.ucsb.edu/kummel/2026/52617631867.jpg	yes	no	200	HEAD	image/jpeg	906988	https://symbiota.ccber.ucsb.edu/kummel/2026/52617631867.jpg	37	
11	e55b3eb7-7ba1-4907-bd49-6fa6fa08174f	https://symbiota.ccber.ucsb.edu/kummel/2026/52637805179.jpg	yes	no	200	HEAD	image/jpeg	983088	https://symbiota.ccber.ucsb.edu/kummel/2026/52637805179.jpg	28	
12	e5cbd6ea-f2e0-41a6-aa46-77991b688b14	https://symbiota.ccber.ucsb.edu/kummel/2026/52663257907.jpg	yes	no	200	HEAD	image/jpeg	923378	https://symbiota.ccber.ucsb.edu/kummel/2026/52663257907.jpg	44	
13	e043498d-fa73-44a5-b4bc-a1a48cb0a560	https://symbiota.ccber.ucsb.edu/kummel/2026/52665244637.jpg	yes	no	200	HEAD	image/jpeg	529591	https://symbiota.ccber.ucsb.edu/kummel/2026/52665244637.jpg	31	
14	deb6aef5-6434-4f83-a6d6-a1d0b1035acd	https://symbiota.ccber.ucsb.edu/kummel/2026/52609991020.jpg	yes	no	200	HEAD	image/jpeg	751823	https://symbiota.ccber.ucsb.edu/kummel/2026/52609991020.jpg	30	
15	db28f747-720a-4811-9e85-bb0c01fa0644	https://symbiota.ccber.ucsb.edu/kummel/2026/52609795229.jpg	yes	no	200	HEAD	image/jpeg	673424	https://symbiota.ccber.ucsb.edu/kummel/2026/52609795229.jpg	49	
16	d1240620-61f4-4aa2-be33-df66678d08bb	https://symbiota.ccber.ucsb.edu/kummel/2026/52637064627.jpg	yes	no	200	HEAD	image/jpeg	655021	https://symbiota.ccber.ucsb.edu/kummel/2026/52637064627.jpg	44	
17	d1338ec2-8dae-4fe4-a149-0f573bc3b19e	https://symbiota.ccber.ucsb.edu/kummel/2026/52640539687.jpg	yes	no	200	HEAD	image/jpeg	651060	https://symbiota.ccber.ucsb.edu/kummel/2026/52640539687.jpg	24	
