line	occurrenceID	identifier	ok	is_500_error	status	method	content_type	content_length	effective_url	elapsed_ms	error
7442	e805e4cd-bef6-4e1c-8e75-60c5ea619698	https://symbiota.ccber.ucsb.edu/kummel/2025/7612632098.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7612632098.jpg	32	HTTPError: Not Found
7443	ce086965-5f5a-43fa-afee-27b062777cc8	https://symbiota.ccber.ucsb.edu/kummel/2025/7612705248.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7612705248.jpg	77	HTTPError: Not Found
7444	29b8fd28-61b2-4794-831d-fe79e34eccd5	https://symbiota.ccber.ucsb.edu/kummel/2025/7612769340.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7612769340.jpg	32	HTTPError: Not Found
7445	2a6a53e3-dc7d-4102-b07c-c56aa12d13ba	https://symbiota.ccber.ucsb.edu/kummel/2025/7624466542.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7624466542.jpg	78	HTTPError: Not Found
7446	f5b642b6-8dd5-4192-819d-bb559fb6130a	https://symbiota.ccber.ucsb.edu/kummel/2025/7624574818.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7624574818.jpg	73	HTTPError: Not Found
7447	d973094e-0f39-4435-bf03-9b4010b5419b	https://symbiota.ccber.ucsb.edu/kummel/2025/7624625176.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7624625176.jpg	40	HTTPError: Not Found
7448	a4cea56b-0457-42e2-be72-a2d41f3ab460	https://symbiota.ccber.ucsb.edu/kummel/2025/7624807448.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7624807448.jpg	65	HTTPError: Not Found
7449	e8805cce-2dc5-4927-a549-3a8ad6bbdb99	https://symbiota.ccber.ucsb.edu/kummel/2025/7625671542.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7625671542.jpg	29	HTTPError: Not Found
7450	5e9173a6-eb37-4a0e-90d2-a5d59e8035eb	https://symbiota.ccber.ucsb.edu/kummel/2025/7625757774.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7625757774.jpg	40	HTTPError: Not Found
7451	bd87f5e6-2985-4107-961a-11ad635fc306	https://symbiota.ccber.ucsb.edu/kummel/2025/7625839694.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7625839694.jpg	31	HTTPError: Not Found
7452	caec67d0-57d9-49be-8016-2558044b257b	https://symbiota.ccber.ucsb.edu/kummel/2025/7625914896.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7625914896.jpg	25	HTTPError: Not Found
7453	2254c4e6-3e0c-4f31-aff4-da0b615335ad	https://symbiota.ccber.ucsb.edu/kummel/2025/7626042112.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7626042112.jpg	28	HTTPError: Not Found
7454	a39bc9e9-4940-41ce-bea9-11bb8311c280	https://symbiota.ccber.ucsb.edu/kummel/2025/7626125114.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7626125114.jpg	39	HTTPError: Not Found
7455	13491e61-f2af-47d8-8394-2fe43c50ac4d	https://symbiota.ccber.ucsb.edu/kummel/2025/7626311566.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7626311566.jpg	40	HTTPError: Not Found
7456	808b0e5a-be65-40d6-bb4d-87789de97bee	https://symbiota.ccber.ucsb.edu/kummel/2025/7626395282.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7626395282.jpg	47	HTTPError: Not Found
7457	72443c0e-76c5-43ce-bd20-2a35074e800b	https://symbiota.ccber.ucsb.edu/kummel/2025/7633432656.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633432656.jpg	49	HTTPError: Not Found
7458	48cee66f-7953-4021-9d00-8da9e38ecfca	https://symbiota.ccber.ucsb.edu/kummel/2025/7633479732.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633479732.jpg	31	HTTPError: Not Found
7459	75add262-5bc2-4790-be54-c7c14070894f	https://symbiota.ccber.ucsb.edu/kummel/2025/7633574332.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633574332.jpg	29	HTTPError: Not Found
7460	6d6ff3e9-0ba4-4c07-8a46-2abda1abcad1	https://symbiota.ccber.ucsb.edu/kummel/2025/7633614968.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633614968.jpg	27	HTTPError: Not Found
7461	8f54e905-1aeb-42c8-9d4c-75348fa16994	https://symbiota.ccber.ucsb.edu/kummel/2025/7633660018.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633660018.jpg	45	HTTPError: Not Found
7462	2e24454c-fe1b-4f96-84f6-39b10ab143cc	https://symbiota.ccber.ucsb.edu/kummel/2025/7633758712.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633758712.jpg	53	HTTPError: Not Found
7463	385b86c5-9488-4a6d-8491-78a7651ba200	https://symbiota.ccber.ucsb.edu/kummel/2025/7633852608.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633852608.jpg	86	HTTPError: Not Found
7464	9794cf4e-3743-4e5f-93b8-32168a21e6ef	https://symbiota.ccber.ucsb.edu/kummel/2025/7633924828.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7633924828.jpg	56	HTTPError: Not Found
7465	4f090bea-abaf-4239-b62d-cb1d4693fd21	https://symbiota.ccber.ucsb.edu/kummel/2025/7640440672.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7640440672.jpg	29	HTTPError: Not Found
7466	0b4e40ad-77fe-43a0-9565-5fbec308b027	https://symbiota.ccber.ucsb.edu/kummel/2025/7640481340.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7640481340.jpg	29	HTTPError: Not Found
7467	b1db52fb-c5ce-4155-b19f-b9d75a828f24	https://symbiota.ccber.ucsb.edu/kummel/2025/7640604092.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7640604092.jpg	26	HTTPError: Not Found
7468	61a620ed-6771-41f4-935d-dfa34b092f50	https://symbiota.ccber.ucsb.edu/kummel/2025/7640724774.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7640724774.jpg	24	HTTPError: Not Found
7469	59ee343f-e694-4064-aa48-0a48b1508b42	https://symbiota.ccber.ucsb.edu/kummel/2025/7640852608.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7640852608.jpg	18	HTTPError: Not Found
7470	2e61982d-639f-4ed8-b213-34d8932e9e87	https://symbiota.ccber.ucsb.edu/kummel/2025/7640943100.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7640943100.jpg	33	HTTPError: Not Found
7471	efe5ab00-ad5b-4768-965c-44eeb363c404	https://symbiota.ccber.ucsb.edu/kummel/2025/7641029082.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7641029082.jpg	34	HTTPError: Not Found
7472	41ae4b22-470e-4aa5-b11d-6fc7885bfd34	https://symbiota.ccber.ucsb.edu/kummel/2025/7641142198.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7641142198.jpg	61	HTTPError: Not Found
7473	be55833c-def6-446c-8139-9230cb02dee0	https://symbiota.ccber.ucsb.edu/kummel/2025/7647200552.jpg	no	no	404	HEAD	text/html; charset=utf-8	162	https://symbiota.ccber.ucsb.edu/kummel/2025/7647200552.jpg	43	HTTPError: Not Found
